coeffs_len,us
1695,10661.8
890,2989
385,552.8
2660,25606.4
3735,48752.6
4360,66245.6
3815,51334.6
805,2361
3785,50183.8
4820,81058.8
4665,76433.4
1280,5996.8
3255,37642
4880,83133.8
4785,79533.6
2270,18181
1230,5561.2
4955,86844.4
3025,32892.4
4305,67106
4320,64951.4
4210,61874
3965,55048.4
920,3195.4
4700,76794.4
875,2780.8
2150,16428.4
835,2558.4
2495,22198.6
525,1038.4
160,116
3450,41569.8
1565,8810.8
2230,17636.4
230,219.6
1660,9927.2
4405,68001
1760,11007.4
2865,29118
110,46.2
3665,46797.4
2075,15255.8
2650,24646.2
2635,24661.6
2170,16556.8
830,2513.6
3690,47664.4
4690,76453
1965,13686
1315,6403.2
1780,11762.8
2940,30544.2
1540,8524.2
3395,40261.4
2420,20746.2
1915,13018
4800,81620.2
3465,42408.8
1605,9216.2
1575,8851
1520,8383
2805,27745.2
2630,24327.8
4590,73521.4
1155,4814.6
2665,25178.6
4735,78605.4
2855,28518
1035,3979.4
4310,64607
2885,29211.4
2185,17040.8
1755,11077.6
4515,72085.8
1325,6341.4
4050,57294.4
3680,47113
4255,63349.2
1675,10007.2
3385,40017.2
2560,23023.6
1495,8054.6
60,15.4
4465,69677
1645,9685.4
4765,78862
1085,4298.2
845,2659.8
45,8.2
2025,14621
2095,15654.6
3725,48731.2
4540,73377.4
2415,20695.2
2050,14962.8
3165,35287.4
4890,83309
2735,26215.4
3775,49650.6
630,1507.4
2780,27192
3365,39526.8
2565,23125.6
2065,15025.2
2410,20505.2
1725,10733.4
1355,6665.6
4490,70902
4080,58013.8
140,78
40,8.2
2405,20537
4580,73473
4510,70689.4
490,869.6
1400,7259
1535,9066.4
4450,69224.6
1050,3988.2
3065,33044.4
4110,58788.4
3130,34846.6
2310,19025.6
2755,26608.4
3200,35930.2
4595,74998.2
3275,38401.2
2740,26589.6
4630,74632.8
2695,25441
1340,6503
1550,8762.8
3145,34663.2
2920,30450
3005,31892.8
1930,13296.4
2970,31907
3140,35864.2
620,1479.6
2100,15924.2
3215,36458.6
2945,31216.8
530,1097.6
505,999.4
4840,83901.8
3175,36231.6
3575,45180.4
1260,5882.8
2550,23275
3125,34295.8
990,3635.4
4340,65965
3880,52383.4
3570,44933.4
3030,32166.4
1440,7478.6
445,755.8
2055,15286.6
2640,24506.4
3745,49471.4
4870,83366
3000,32152.6
1975,14153
4795,80108.6
3220,36181.6
985,3572.2
840,2663.6
1720,10786.8
4445,68914
3925,54056.4
925,3194.8
4655,75317.8
1310,6193.8
565,1151.8
1485,8010
2385,20195
3915,53791.4
1135,4701.8
4985,87467.8
3500,42968.6
1415,7198.6
735,1903.4
430,689.2
2845,28521.4
4415,67797.4
90,32.4
2245,19492.6
3335,39202
4025,56766.4
1815,11752.4
1825,11855.8
3460,42050.2
2465,21570.8
4440,68842.6
4790,80133.2
450,760.4
4600,74924.4
1285,6197.4
1475,7991.2
795,2289.8
4295,64212
4145,60213.6
2425,20693.6
3675,47072
2685,25498
4315,64644.6
4535,71511.4
1895,12735
1405,7169
