coeffs_len,us
415,170562
250,37845.8
385,137101
100,2790.2
150,8997.8
320,77141.6
165,11319.6
370,117750
275,49183
30,118
440,198012
430,188101
60,668
445,214422
335,89597
90,2091.6
245,35821.2
185,15945
200,19906.8
195,18770.6
160,10439.8
485,260840
120,4708.8
210,22675.6
85,1768
270,47054.2
190,16930
340,91622.6
435,188864
260,42057.4
325,80266.2
420,172420
135,6632.2
425,182390
105,3215.8
300,64219.6
500,287338
145,7951
175,13609.4
235,31419.2
240,33233.2
475,245741
125,5221
115,4156.4
480,251758
305,67216.6
345,95938.6
65,886.2
140,8020.6
490,268000
230,29273.6
380,128035
10,9.6
25,75.6
455,216514
205,21059.2
130,5682.6
315,73052
295,60484.2
405,153511
280,53220
110,3581.6
155,9639.8
180,14613.2
465,231484
40,235.2
400,147618
365,113627
225,27585
220,25910.6
55,547.8
215,24227.2
70,1057.4
80,1529.6
410,158591
95,2386.8
265,44529.2
290,57300
5,3.2
395,142862
375,123558
170,12619.2
330,84361.4
35,168.8
360,108650
255,39811.2
45,313.4
75,1287.6
355,104426
470,237815
310,69870.6
50,423
285,54834.4
20,41.6
15,26
450,209380
390,138828
350,100063
460,222569
495,276891
